COUNTYFP5,women_15_44,mean_drive_min,COUNTY_NAME
48145,3212,29.279167090538024,Falls
48493,9244,29.00719498009006,Wilson
48021,18378,28.93848682126522,Bastrop
48065,1089,28.920707847701827,Carson
48387,1426,28.806428963210156,Red River
48445,2080,28.46634406093783,Terry
48275,572,28.3741625824458,Knox
48455,2105,28.331824266206283,Trinity
48291,20162,28.249004343881523,Liberty
48031,1665,28.18148327892009,Blanco
48253,2371,27.635816077834594,Jones
48191,448,27.624366881262556,Hall
48153,874,27.596479138931027,Floyd
48305,1061,27.47228716195826,Lynn
48235,210,27.257805731810254,Irion
48017,1665,27.208920162759135,Bailey
48101,207,27.179182252397876,Cottle
48497,13211,26.7709486933233,Wise
48313,2024,26.72440452723782,Madison
48239,2243,26.620026058694336,Jackson
48149,3630,26.526420230553803,Fayette
48407,4575,26.427459835568314,San Jacinto
48261,5,26.284062811643373,Kenedy
48147,6011,26.235907475411352,Fannin
48069,1373,26.143452258158906,Castro
48285,3415,25.99210330937329,Lavaca
48259,7772,25.96846051643876,Kendall
48051,3010,25.80069963132579,Burleson
48379,2059,25.771598003816003,Rains
48079,492,24.791691125327837,Cochran
48335,982,23.612008515001126,Mitchell
48281,3708,23.422722744999096,Lampasas
48175,1122,23.406951576570755,Goliad
48151,618,23.25198940723293,Fisher
48077,1616,22.946974219240694,Clay
48199,10787,22.900451842532725,Hardin
48203,13749,22.564662715927444,Harrison
48437,1106,22.534246424390275,Swisher
48131,1719,22.428344945419905,Duval
48489,3572,22.253277781728592,Willacy
48185,4845,22.21077866004282,Grimes
48055,9135,21.310082252879642,Caldwell
48119,1112,21.22034428463213,Delta
48459,7560,21.210164743933362,Upshur
48015,5236,21.165869904595883,Austin
48317,875,20.836955936299265,Martin
48197,572,20.66406948314355,Hardeman
48343,2134,20.64233800332351,Morris
48159,1671,20.27089828524149,Franklin
48503,2901,20.15669168837391,Young
48473,14554,20.042732817008606,Waller
48425,1501,19.759582758076686,Somervell
48257,34452,19.298577571556372,Kaufman
48361,16166,19.235917332918156,Orange
48053,8611,18.88115594063726,Burnet
48409,13210,18.874825649338597,San Patricio
48009,1190,18.761544161134193,Archer
48059,2447,18.534183227932715,Callahan
48325,7785,17.73107680617714,Medina
48099,19503,17.265748736104186,Coryell
48213,13881,16.19825577479098,Henderson
48071,10276,15.79950228255669,Chambers
48063,2338,15.528225194196283,Camp
48251,37002,15.066240652245094,Johnson
48035,2956,14.840531659420886,Bosque
48507,1794,14.82636970184143,Zavala
48089,2674,14.221248579564326,Colorado
48039,76954,14.137031694626353,Brazoria
48367,29395,13.898023823094503,Parker
48373,7498,13.741164074340265,Polk
48299,2673,13.314400088376459,Llano
48217,6286,13.22035789178555,Hill
48123,2817,12.666311029364064,DeWitt
48091,30403,12.47039599352928,Comal
48177,3366,12.152009685403156,Gonzales
48187,35423,12.031265979438443,Guadalupe
48231,19524,11.936416911952453,Hunt
48043,1781,11.568190098449614,Brewster
48139,41191,11.55322875552269,Ellis
48427,13649,11.214100047377958,Starr
48401,8902,11.129993463039801,Rusk
48037,17015,10.558460971191975,Bowie
48167,69381,10.42758700951205,Galveston
48279,2379,10.393528639882579,Lamb
48073,9134,10.251513326342398,Cherokee
48339,128884,10.189805914829837,Montgomery
48371,2414,9.469874040464713,Pecos
48349,10101,9.409001415873783,Navarro
48181,25918,9.35169192854408,Grayson
48249,7375,9.337575583804123,Jim Wells
48001,7757,9.229196581306176,Anderson
48163,2722,9.2008533817937,Frio
48309,57549,9.095766650551722,McLennan
48221,9806,9.059576485463504,Hood
48381,29809,9.005565571507711,Randall
48165,4197,8.93158714137837,Gaines
48097,7401,8.843442302100103,Cooke
48223,6626,8.830444596488661,Hopkins
48423,48000,8.829631852716483,Smith
48171,3833,8.702918070469462,Gillespie
48363,4929,8.638142275190324,Palo Pinto
48157,175185,8.63130908616591,Fort Bend
48005,16676,8.498914495058338,Angelina
48027,82894,8.457600504994998,Bell
48237,1372,8.334536852972482,Jack
48265,8200,8.22200736903531,Kerr
48049,6903,8.194320905298632,Brown
48209,59040,8.162816730113025,Hays
48355,70950,8.136495674108692,Nueces
48277,9112,8.084733020795372,Lamar
48029,430600,7.9492792410942545,Bexar
48141,180691,7.795634845540566,El Paso
48111,1344,7.74485244975677,Dallam
48491,135160,7.726329008523035,Williamson
48083,1210,7.388232949594356,Coleman
48121,206070,7.246350909756647,Denton
48085,233800,7.093084082538423,Collin
48375,22558,7.054016249641024,Potter
48215,185326,7.043972319360964,Hidalgo
48397,23289,7.028972225202153,Rockwall
48485,24680,6.95154320295644,Wichita
48477,6319,6.919070179219973,Washington
48219,4277,6.887907614041853,Hockley
48441,31854,6.885594598087713,Taylor
48453,303251,6.884997081822098,Travis
48501,1276,6.824330493681093,Yoakum
48183,24654,6.766201094642034,Gregg
48057,3278,6.76371861928143,Calhoun
48143,10195,6.746678623162091,Erath
48201,1023593,6.586079682717377,Harris
48471,15257,6.547877496387942,Walker
48061,84190,6.4347057821144125,Cameron
48205,734,6.418621032364873,Hartley
48463,4891,6.415815735493166,Uvalde
48233,3756,6.225066158041713,Hutchinson
48347,14985,6.135353841085083,Nacogdoches
48245,46990,6.133362333793589,Jefferson
48303,73177,6.107926618368702,Lubbock
48449,6102,6.003024793973568,Titus
48113,567799,5.988484396754769,Dallas
48189,6071,5.920953715734117,Hale
48439,458095,5.872015499380359,Tarrant
48451,23503,5.867808271110871,Tom Green
48135,33530,5.861147646154785,Ector
48323,11594,5.767988017297487,Maverick
48329,36786,5.763721919092577,Midland
48469,18025,5.7051175720749505,Victoria
48025,4641,5.6107136071987584,Bee
48041,64505,5.602157597509761,Brazos
48479,56278,5.379525186072042,Webb
48227,5872,4.936440475020574,Howard
48341,4125,4.7713901592629435,Moore
48353,2381,4.719161725446684,Nolan
48415,2863,4.630668741861998,Scurry
48273,7142,4.545887957806718,Kleberg
48117,3461,4.390507416430193,Deaf Smith
48127,1816,4.16948840782971,Dimmit
48357,1924,4.011463068059347,Ochiltree
48389,2103,3.833270926978859,Reeves
48003,3740,3.746822762237871,Andrews
48465,8341,3.6970983714199743,Val Verde
48487,2546,3.590518549876961,Wilbarger
48023,462,2.808196955493259,Baylor
48075,951,1.7793389083159543,Childress
